card_type,Issuer,bank,ccbuddy_card_name,singsaver_card_name,card_name,deal_handler
Credit,Visa,DBS,DBS Black Visa Card,DBS BLACK VISA CARD,DBS Black Visa Card,dbs_all
Credit,Master,DBS,DBS Esso Card,DBS ESSO CARD,DBS Esso Card,dbs_all
Credit,Visa,DBS,DBS Insignia Visa Infinite Card,,DBS Insignia Visa Infinite Card,dbs_all
Credit,Visa,DBS,DBS Live Fresh Card,DBS LIVE FRESH VISA CARD,DBS Live Fresh Card,dbs_all
Debit,Visa,DBS,DBS Live Fresh Student Card,,DBS Live Fresh Student Card,dbs_all
Credit,Master,DBS,DBS MasterCard Platinum Card,,DBS MasterCard Platinum Card,dbs_all
Credit,Master,DBS,DBS NUS Alumni Card,DBS NUS ALUMNI & DBS NUSS CARDS,DBS NUS Alumni Card,dbs_all
Credit,Visa,DBS,DBS NUSS Visa Platinum Card ,DBS NUS ALUMNI & DBS NUSS CARDS,DBS NUSS Visa Platinum Card ,dbs_all
Debit,Master,DBS,DBS NUSSU Debit Card,,DBS NUSSU Debit Card,dbs_all
Debit,Visa,DBS,DBS Private Bank Debit Card,,DBS Private Bank Debit Card,dbs_all
Debit,Visa,DBS,DBS SUTD Alumnus Debit Card,,DBS SUTD Alumnus Debit Card,dbs_all
Credit,AMEX,DBS,DBS Takashimaya American Express® Card,DBS TAKASHIMAYA AMERICAN EXPRESS CARD,DBS Takashimaya American Express® Card,dbs_all
Debit,Visa,DBS,DBS Takashimaya Debit Card,,DBS Takashimaya Debit Card,dbs_all
Credit,Visa,DBS,DBS Takashimaya Visa Card,DBS TAKASHIMAYA VISA CARD,DBS Takashimaya Visa Card,dbs_all
Credit,Amex,DBS,DBS Treasures Black Elite Card,,DBS Treasures Black Elite Card,dbs_all
Debit,Visa,DBS,DBS Treasures Debit Card,,DBS Treasures Debit Card,dbs_all
Credit,Visa,DBS,DBS Treasures Visa Infinite Card,,DBS Treasures Visa Infinite Card,dbs_all
Credit,UnionPay,DBS,DBS UnionPay Platinum,,DBS UnionPay Platinum,dbs_all
Debit,Visa,DBS,DBS Visa Debit Card,,DBS Visa Debit Card,dbs_all
Credit,Master,DBS,DBS Woman's Card,DBS WOMAN'S CARD,DBS Woman's Card,dbs_all
Credit,Master,DBS,DBS Woman's World Card,DBS WOMAN'S WORLD CARD,DBS Woman's World Card,dbs_all
Credit,Master,DBS,SAFRA DBS Card,DBS SAFRA CARD,SAFRA DBS Card,dbs_all
Debit,Master,DBS,SAFRA DBS Debit Card,,SAFRA DBS Debit Card,dbs_all
Debit,Visa,DBS,DBS Treasures Private Client Debit Card,,DBS Treasures Private Client Debit Card,dbs_all
Credit,Visa,OCBC,OCBC VOYAGE Card,OCBC Voyage Card,OCBC VOYAGE Card,ocbc_visa
Credit,Visa,OCBC,OCBC 365 Credit Card,OCBC 365 Credit Card,OCBC 365 Credit Card,ocbc_visa
Credit,Master,OCBC,OCBC Cashflo Credit Card,OCBC CashFlo Credit Card,OCBC Cashflo Credit Card,ocbc_master
Credit,Visa,OCBC,FRANK Credit Card,OCBC Frank Credit ,FRANK Credit Card,ocbc_visa
Credit,Master,OCBC,OCBC Great Eastern Credit Card,OCBC Great Eastern Cashflo Credit Card,OCBC Great Eastern Credit Card,ocbc_master
Credit,Master,OCBC,OCBC Titanium Rewards Credit Card,OCBC Titanium Rewards Credit Card- Blue Card Face,OCBC Titanium Rewards Credit Card,ocbc_master
Credit,Visa,OCBC,OCBC Robinsons Group  Credit Card,OCBC Robinson Group Credit Card,OCBC Robinsons Group  Credit Card,ocbc_visa
Credit,Visa,OCBC,OCBC Plus! Visa Credit Card,OCBC Plus! Credit Card,OCBC Plus! Visa Credit Card,ocbc_visa
Credit,Visa,OCBC,NTUC Plus! Visa Credit Card,OCBC NTUC Plus! Credit Card,NTUC Plus! Visa Credit Card,ocbc_visa
Credit,Master,OCBC,OCBC Arts Credit Card,OCBC Arts Platinum Mastercard,OCBC Arts Credit Card,ocbc_master
Credit,Master,OCBC,OCBC Platinum Credit Card,OCBC Platinum Credit Card,OCBC Platinum Credit Card,ocbc_master
Credit,Master,OCBC,OCBC BEST Denki Credit Card,OCBC BEST Denki Credit Card,OCBC BEST Denki Credit Card,ocbc_master
Debit,Visa,OCBC,FRANK Debit Card,,FRANK Debit Card,ocbc_visa
Debit,Visa,OCBC,OCBC YES! Debit Card,,OCBC YES! Debit Card,ocbc_visa
Debit,Visa,OCBC,OCBC Plus! Visa Debit Card,,OCBC Plus! Visa Debit Card,ocbc_visa
Debit,Visa,OCBC,NTUC Plus! Visa Debit Card,,NTUC Plus! Visa Debit Card,ocbc_visa
Credit,Visa,OCBC,OCBC VOYAGE Card,OCBC Voyage Card,OCBC VOYAGE Card,ocbc_visa
